Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
541168,Štíty,1 651,938,932,"20,81 %","0,21 %","0,10 %","6,65 %","0,10 %","3,54 %","10,40 %","0,64 %","0,42 %","1,07 %","0,32 %","0,00 %","7,08 %","0,00 %","0,64 %","26,28 %","0,00 %","0,10 %","9,76 %","0,00 %","0,42 %","0,00 %","0,10 %","10,83 %","0,42 %"
523704,Šumperk,21 697,12 627,12 562,"9,52 %","0,17 %","0,09 %","7,41 %","0,07 %","6,46 %","8,23 %","0,90 %","0,62 %","1,69 %","0,24 %","0,09 %","8,62 %","0,07 %","3,72 %","31,89 %","0,07 %","0,11 %","5,03 %","0,09 %","0,58 %","0,15 %","0,11 %","13,69 %","0,26 %"
553336,Třeština,314,196,195,"9,74 %","0,51 %","0,00 %","6,66 %","0,51 %","7,69 %","6,66 %","1,53 %","0,51 %","0,00 %","0,00 %","0,00 %","5,12 %","0,00 %","0,00 %","41,53 %","0,00 %","0,00 %","8,20 %","0,00 %","0,00 %","0,00 %","0,51 %","10,76 %","0,00 %"
541222,Úsov,975,549,546,"6,77 %","0,18 %","0,00 %","4,57 %","0,18 %","3,29 %","10,62 %","0,91 %","1,09 %","1,46 %","0,00 %","0,00 %","8,97 %","0,36 %","3,11 %","39,19 %","0,00 %","0,73 %","6,22 %","0,00 %","0,36 %","0,18 %","0,91 %","10,62 %","0,18 %"
541265,Velké Losiny,2 357,1 436,1 425,"9,61 %","0,42 %","0,07 %","7,29 %","0,07 %","4,21 %","7,78 %","0,70 %","1,19 %","0,84 %","0,35 %","0,21 %","8,98 %","0,14 %","2,87 %","35,36 %","0,14 %","0,00 %","5,61 %","0,00 %","0,21 %","0,07 %","0,00 %","13,05 %","0,77 %"
554146,Vernířovice,186,109,107,"14,95 %","0,00 %","0,93 %","6,54 %","0,00 %","9,34 %","5,60 %","2,80 %","0,00 %","4,67 %","0,00 %","0,00 %","8,41 %","0,00 %","4,67 %","22,42 %","0,00 %","0,00 %","10,28 %","0,00 %","0,00 %","0,00 %","0,00 %","9,34 %","0,00 %"
553191,Vikantice,71,35,34,"2,94 %","2,94 %","0,00 %","2,94 %","0,00 %","5,88 %","11,76 %","0,00 %","0,00 %","5,88 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","41,17 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","26,47 %","0,00 %"
569445,Vikýřovice,1 878,1 197,1 190,"11,00 %","0,00 %","0,08 %","5,54 %","0,08 %","11,26 %","5,54 %","0,67 %","0,50 %","1,26 %","0,00 %","0,08 %","7,39 %","0,25 %","4,20 %","31,00 %","0,00 %","0,08 %","6,97 %","0,00 %","0,92 %","0,16 %","0,25 %","12,60 %","0,08 %"
570095,Vyšehoří,187,119,117,"5,98 %","0,00 %","0,00 %","4,27 %","0,00 %","12,82 %","11,96 %","0,00 %","1,70 %","2,56 %","0,00 %","0,00 %","4,27 %","0,00 %","0,00 %","32,47 %","0,00 %","0,00 %","7,69 %","0,00 %","0,00 %","0,00 %","1,70 %","14,52 %","0,00 %"
541354,Zábřeh,11 192,6 685,6 646,"7,53 %","0,15 %","0,07 %","6,99 %","0,12 %","6,13 %","7,43 %","0,99 %","0,54 %","1,47 %","0,04 %","0,09 %","8,90 %","0,09 %","2,27 %","32,51 %","0,09 %","0,27 %","11,85 %","0,01 %","0,58 %","0,22 %","0,16 %","11,08 %","0,31 %"
570338,Zborov,176,112,112,"11,60 %","0,00 %","0,00 %","7,14 %","0,00 %","9,82 %","16,07 %","0,00 %","2,67 %","0,00 %","0,89 %","0,00 %","2,67 %","0,00 %","3,57 %","27,67 %","0,00 %","0,00 %","10,71 %","0,00 %","0,00 %","0,89 %","0,89 %","5,35 %","0,00 %"
541478,Zvole,679,425,424,"5,42 %","0,00 %","0,23 %","8,49 %","0,00 %","4,48 %","8,49 %","0,70 %","0,47 %","0,70 %","0,00 %","0,00 %","5,89 %","0,00 %","2,83 %","39,15 %","0,23 %","0,23 %","11,55 %","0,00 %","0,23 %","0,23 %","0,47 %","10,14 %","0,00 %"
